,response1,subjectID,age,gender,numberofsiblings,gamestrategy
10,"{
    ""subjectID"": ""P123456"",
    ""age"": 29,
    ""gender"": ""Female"",
    ""numberSiblings"": 2,
    ""donation"": [
        {""charityName"": ""Red Cross"", ""amount"": 50},
        {""charityName"": ""UNICEF"", ""amount"": 75}
    ],
    ""strategy"": [
        {""gameID"": 1, ""role"": ""A"", ""decision"": ""Cooperate""},
        {""gameID"": 2, ""role"": ""B"", ""decision"": ""Reciprocate""},
        {""gameID"": 3, ""role"": ""A"", ""decision"": ""Cooperate""},
        {""gameID"": 4, ""role"": ""B"", ""decision"": ""Reciprocate""},
        {""gameID"": 5, ""role"": ""A"", ""decision"": ""Defect""},
        {""gameID"": 6, ""role"": ""B"", ""decision"": ""Punish""},
        {""gameID"": 7, ""role"": ""A"", ""decision"": ""Cooperate""}
    ]
}",P123456,29,Female,2,"[{'gameID': 1, 'role': 'A', 'decision': 'Cooperate'}, {'gameID': 2, 'role': 'B', 'decision': 'Reciprocate'}, {'gameID': 3, 'role': 'A', 'decision': 'Cooperate'}, {'gameID': 4, 'role': 'B', 'decision': 'Reciprocate'}, {'gameID': 5, 'role': 'A', 'decision': 'Defect'}, {'gameID': 6, 'role': 'B', 'decision': 'Punish'}, {'gameID': 7, 'role': 'A', 'decision': 'Cooperate'}]"
11,"{
    ""subjectID"": ""A1234567"",
    ""age"": 29,
    ""gender"": ""Female"",
    ""numberSiblings"": 2,
    ""donation"": [
        {""amount"": 50, ""organization"": ""Red Cross""},
        {""amount"": 100, ""organization"": ""UNICEF""}
    ],
    ""strategy"": {
        ""game1"": ""Tit for Tat"",
        ""game2"": ""Always Cooperate"",
        ""game3"": ""Random"",
        ""game4"": ""Grim Trigger"",
        ""game5"": ""Tit for Tat"",
        ""game6"": ""Always Defect"",
        ""game7"": ""Mixed Strategy""
    }
}",A1234567,29,Female,2,"{'game1': 'Tit for Tat', 'game2': 'Always Cooperate', 'game3': 'Random', 'game4': 'Grim Trigger', 'game5': 'Tit for Tat', 'game6': 'Always Defect', 'game7': 'Mixed Strategy'}"
12,"{
    ""subjectID"": ""A12345"",
    ""age"": 24,
    ""gender"": ""Female"",
    ""numberSiblings"": 2,
    ""donation"": [
        {""charity"": ""Red Cross"", ""amount"": 50},
        {""charity"": ""World Wildlife Fund"", ""amount"": 30},
        {""charity"": ""Local Food Bank"", ""amount"": 20}
    ],
    ""strategy"": [
        {""game"": 1, ""role"": ""A"", ""decision"": ""Cooperate""},
        {""game"": 2, ""role"": ""B"", ""decision"": ""Match A's decision""},
        {""game"": 3, ""role"": ""A"", ""decision"": ""Defect""},
        {""game"": 4, ""role"": ""B"", ""decision"": ""Tit-for-Tat""},
        {""game"": 5, ""role"": ""A"", ""decision"": ""Random""},
        {""game"": 6, ""role"": ""B"", ""decision"": ""Maximize own payoff""},
        {""game"": 7, ""role"": ""A"", ""decision"": ""Cooperate if past cooperative, else defect""}
    ]
}",A12345,24,Female,2,"[{'game': 1, 'role': 'A', 'decision': 'Cooperate'}, {'game': 2, 'role': 'B', 'decision': ""Match A's decision""}, {'game': 3, 'role': 'A', 'decision': 'Defect'}, {'game': 4, 'role': 'B', 'decision': 'Tit-for-Tat'}, {'game': 5, 'role': 'A', 'decision': 'Random'}, {'game': 6, 'role': 'B', 'decision': 'Maximize own payoff'}, {'game': 7, 'role': 'A', 'decision': 'Cooperate if past cooperative, else defect'}]"
13,"{
    ""subjectID"": ""P12345"",
    ""age"": 28,
    ""gender"": ""Female"",
    ""numberSiblings"": 2,
    ""donation"": {
        ""causes"": [""Environmental"", ""Healthcare""],
        ""lastDonationAmount"": 50,
        ""frequency"": ""Quarterly""
    },
    ""strategy"": [
        {
            ""gameID"": 1,
            ""role"": ""A"",
            ""decision"": ""Cooperate""
        },
        {
            ""gameID"": 2,
            ""role"": ""B"",
            ""decision"": ""Reciprocate""
        },
        {
            ""gameID"": 3,
            ""role"": ""A"",
            ""decision"": ""Defect""
        },
        {
            ""gameID"": 4,
            ""role"": ""B"",
            ""decision"": ""Match A's decision""
        },
        {
            ""gameID"": 5,
            ""role"": ""A"",
            ""decision"": ""Maximize my payoff""
        },
        {
            ""gameID"": 6,
            ""role"": ""B"",
            ""decision"": ""Minimize combined losses""
        },
        {
            ""gameID"": 7,
            ""role"": ""A"",
            ""decision"": ""Tit for Tat""
        }
    ]
}",P12345,28,Female,2,"[{'gameID': 1, 'role': 'A', 'decision': 'Cooperate'}, {'gameID': 2, 'role': 'B', 'decision': 'Reciprocate'}, {'gameID': 3, 'role': 'A', 'decision': 'Defect'}, {'gameID': 4, 'role': 'B', 'decision': ""Match A's decision""}, {'gameID': 5, 'role': 'A', 'decision': 'Maximize my payoff'}, {'gameID': 6, 'role': 'B', 'decision': 'Minimize combined losses'}, {'gameID': 7, 'role': 'A', 'decision': 'Tit for Tat'}]"
14,"{
  ""subjectID"": ""SID12345"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": {
    ""history"": [
      {
        ""organization"": ""Red Cross"",
        ""amount"": 50,
        ""year"": 2021
      },
      {
        ""organization"": ""World Wildlife Fund"",
        ""amount"": 75,
        ""year"": 2022
      }
    ]
  },
  ""strategy"": [
    {
      ""game"": ""Prisoner's Dilemma"",
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": ""Ultimatum Game"",
      ""role"": ""B"",
      ""decision"": ""Accept""
    },
    {
      ""game"": ""Public Goods Game"",
      ""role"": ""A"",
      ""decision"": {
        ""contribution"": 20
      }
    },
    {
      ""game"": ""Dictator Game"",
      ""role"": ""A"",
      ""decision"": {
        ""giveAmount"": 30
      }
    },
    {
      ""game"": ""Trust Game"",
      ""role"": ""A"",
      ""decision"": {
        ""sendAmount"": 40
      }
    },
    {
      ""game"": ""Trust Game"",
      ""role"": ""B"",
      ""decision"": {
        ""returnAmount"": 20
      }
    },
    {
      ""game"": ""Charity Game"",
      ""role"": ""A"",
      ""decision"": {
        ""donationAmount"": 10
      }
    }
  ]
}",SID12345,29,Female,2,"[{'game': ""Prisoner's Dilemma"", 'role': 'A', 'decision': 'Cooperate'}, {'game': 'Ultimatum Game', 'role': 'B', 'decision': 'Accept'}, {'game': 'Public Goods Game', 'role': 'A', 'decision': {'contribution': 20}}, {'game': 'Dictator Game', 'role': 'A', 'decision': {'giveAmount': 30}}, {'game': 'Trust Game', 'role': 'A', 'decision': {'sendAmount': 40}}, {'game': 'Trust Game', 'role': 'B', 'decision': {'returnAmount': 20}}, {'game': 'Charity Game', 'role': 'A', 'decision': {'donationAmount': 10}}]"
15,"{
  ""subjectID"": ""A1B2C3D4"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {""organization"": ""Red Cross"", ""amount"": 50},
    {""organization"": ""WWF"", ""amount"": 30},
    {""organization"": ""Local Food Bank"", ""amount"": 20}
  ],
  ""strategy"": [
    {
      ""gameID"": 1,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""gameID"": 2,
      ""role"": ""B"",
      ""decision"": ""Defect""
    },
    {
      ""gameID"": 3,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""gameID"": 4,
      ""role"": ""B"",
      ""decision"": ""Match previous move""
    },
    {
      ""gameID"": 5,
      ""role"": ""A"",
      ""decision"": ""Split""
    },
    {
      ""gameID"": 6,
      ""role"": ""B"",
      ""decision"": ""Reciprocate""
    },
    {
      ""gameID"": 7,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    }
  ]
}",A1B2C3D4,29,Female,2,"[{'gameID': 1, 'role': 'A', 'decision': 'Cooperate'}, {'gameID': 2, 'role': 'B', 'decision': 'Defect'}, {'gameID': 3, 'role': 'A', 'decision': 'Cooperate'}, {'gameID': 4, 'role': 'B', 'decision': 'Match previous move'}, {'gameID': 5, 'role': 'A', 'decision': 'Split'}, {'gameID': 6, 'role': 'B', 'decision': 'Reciprocate'}, {'gameID': 7, 'role': 'A', 'decision': 'Cooperate'}]"
16,"{
  ""subjectID"": ""U12345X"",
  ""age"": 28,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""date"": ""2022-05-15"",
      ""amount"": 50,
      ""charity"": ""Red Cross""
    },
    {
      ""date"": ""2023-01-25"",
      ""amount"": 30,
      ""charity"": ""World Wildlife Fund""
    }
  ],
  ""strategy"": [
    {
      ""gameID"": 1,
      ""role"": ""A"",
      ""decision"": ""Cooperate"",
      ""rationale"": ""Maximize mutual benefit""
    },
    {
      ""gameID"": 2,
      ""role"": ""B"",
      ""decision"": ""Reciprocate"",
      ""rationale"": ""Respond in kind to participant A's decision""
    },
    {
      ""gameID"": 3,
      ""role"": ""A"",
      ""decision"": ""Defect"",
      ""rationale"": ""Minimize personal risk""
    },
    {
      ""gameID"": 4,
      ""role"": ""B"",
      ""decision"": ""Cooperate"",
      ""rationale"": ""Foster trust and collaboration""
    },
    {
      ""gameID"": 5,
      ""role"": ""A"",
      ""decision"": ""Cooperate"",
      ""rationale"": ""Encourage positive outcomes""
    },
    {
      ""gameID"": 6,
      ""role"": ""B"",
      ""decision"": ""Tit for tat"",
      ""rationale"": ""Mirror the other participant's actions""
    },
    {
      ""gameID"": 7,
      ""role"": ""A"",
      ""decision"": ""Cooperate"",
      ""rationale"": ""Initial trust-building""
    }
  ]
}",U12345X,28,Female,2,"[{'gameID': 1, 'role': 'A', 'decision': 'Cooperate', 'rationale': 'Maximize mutual benefit'}, {'gameID': 2, 'role': 'B', 'decision': 'Reciprocate', 'rationale': ""Respond in kind to participant A's decision""}, {'gameID': 3, 'role': 'A', 'decision': 'Defect', 'rationale': 'Minimize personal risk'}, {'gameID': 4, 'role': 'B', 'decision': 'Cooperate', 'rationale': 'Foster trust and collaboration'}, {'gameID': 5, 'role': 'A', 'decision': 'Cooperate', 'rationale': 'Encourage positive outcomes'}, {'gameID': 6, 'role': 'B', 'decision': 'Tit for tat', 'rationale': ""Mirror the other participant's actions""}, {'gameID': 7, 'role': 'A', 'decision': 'Cooperate', 'rationale': 'Initial trust-building'}]"
17,"{
  ""subjectID"": ""A9X34LK2"",
  ""age"": 29,
  ""gender"": ""female"",
  ""numberSiblings"": 2,
  ""donation"": {
    ""totalDonations"": 5,
    ""dollarAmount"": 150
  },
  ""strategy"": {
    ""Game1"": ""Tit-for-tat"",
    ""Game2"": ""Always Cooperate"",
    ""Game3"": ""Randomize"",
    ""Game4"": ""Grim Trigger"",
    ""Game5"": ""Tit-for-tat"",
    ""Game6"": ""Always Defect"",
    ""Game7"": ""Tit-for-tat""
  }
}",A9X34LK2,29,female,2,"{'Game1': 'Tit-for-tat', 'Game2': 'Always Cooperate', 'Game3': 'Randomize', 'Game4': 'Grim Trigger', 'Game5': 'Tit-for-tat', 'Game6': 'Always Defect', 'Game7': 'Tit-for-tat'}"
18,"{
  ""subjectID"": ""P123456"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""CharityWater"",
      ""amount"": 50,
      ""date"": ""2023-02-15""
    },
    {
      ""organization"": ""RedCross"",
      ""amount"": 30,
      ""date"": ""2023-05-20""
    }
  ],
  ""strategy"": [
    {
      ""game"": 1,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 2,
      ""role"": ""B"",
      ""decision"": ""Defect""
    },
    {
      ""game"": 3,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 4,
      ""role"": ""B"",
      ""decision"": ""Match A's decision""
    },
    {
      ""game"": 5,
      ""role"": ""A"",
      ""decision"": ""Maximize own payoff""
    },
    {
      ""game"": 6,
      ""role"": ""B"",
      ""decision"": ""Minimize difference in payoffs""
    },
    {
      ""game"": 7,
      ""role"": ""A"",
      ""decision"": ""Alternate between Cooperate and Defect""
    }
  ]
}",P123456,29,Female,2,"[{'game': 1, 'role': 'A', 'decision': 'Cooperate'}, {'game': 2, 'role': 'B', 'decision': 'Defect'}, {'game': 3, 'role': 'A', 'decision': 'Cooperate'}, {'game': 4, 'role': 'B', 'decision': ""Match A's decision""}, {'game': 5, 'role': 'A', 'decision': 'Maximize own payoff'}, {'game': 6, 'role': 'B', 'decision': 'Minimize difference in payoffs'}, {'game': 7, 'role': 'A', 'decision': 'Alternate between Cooperate and Defect'}]"
19,"{
  ""subjectID"": ""ID12345"",
  ""age"": 28,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {""amount"": 50, ""date"": ""2022-05-15"", ""organization"": ""Red Cross""},
    {""amount"": 30, ""date"": ""2021-12-20"", ""organization"": ""UNICEF""}
  ],
  ""strategy"": [
    {
      ""gameID"": ""Game1"",
      ""role"": ""A"",
      ""decision"": ""Split 50/50""
    },
    {
      ""gameID"": ""Game2"",
      ""role"": ""B"",
      ""decision"": ""Accept Offer""
    },
    {
      ""gameID"": ""Game3"",
      ""role"": ""A"",
      ""decision"": ""Split 70/30""
    },
    {
      ""gameID"": ""Game4"",
      ""role"": ""B"",
      ""decision"": ""Reject Offer""
    },
    {
      ""gameID"": ""Game5"",
      ""role"": ""A"",
      ""decision"": ""Split 60/40""
    },
    {
      ""gameID"": ""Game6"",
      ""role"": ""B"",
      ""decision"": ""Accept Offer""
    },
    {
      ""gameID"": ""Game7"",
      ""role"": ""A"",
      ""decision"": ""Split 80/20""
    }
  ]
}",ID12345,28,Female,2,"[{'gameID': 'Game1', 'role': 'A', 'decision': 'Split 50/50'}, {'gameID': 'Game2', 'role': 'B', 'decision': 'Accept Offer'}, {'gameID': 'Game3', 'role': 'A', 'decision': 'Split 70/30'}, {'gameID': 'Game4', 'role': 'B', 'decision': 'Reject Offer'}, {'gameID': 'Game5', 'role': 'A', 'decision': 'Split 60/40'}, {'gameID': 'Game6', 'role': 'B', 'decision': 'Accept Offer'}, {'gameID': 'Game7', 'role': 'A', 'decision': 'Split 80/20'}]"
